Z  z1         4.0        4.1        4.2        4.3        4.4        4.5        4.6        4.7        4.8        4.9        5.0        5.1        5.2        5.3        5.4        5.5        5.6        5.7        5.8        5.9        6.0        6.1        6.2        6.3        6.4        6.5        6.6        6.7        6.8        6.9        7.0        7.1        7.2        7.3        7.4        7.5        7.6        7.7        7.8        7.9        8.0        8.1        8.2        8.3        8.4        8.5        8.6        8.7        8.8        8.9        9.0
 6  4 -22.838319 -22.917138 -22.989821 -23.056584 -23.115515 -23.105848 -22.623028 -21.780484 -21.037448 -20.442611 -19.968657 -19.596531 -19.306909 -19.076931 -18.901210 -18.769584 -18.665089 -18.588697 -18.534872 -18.498430 -18.468945 -18.447769 -18.431457 -18.416035 -18.401202 -18.385684 -18.371248 -18.355580 -18.342884 -18.330733 -18.321695 -18.318705 -18.317045 -18.318275 -18.327518 -18.338081 -18.366577 -18.392341 -18.421559 -18.448819 -18.474717 -18.502899 -18.530582 -18.557978 -18.588934 -18.619932 -18.650996 -18.682190 -18.715960 -18.749883 -18.783969
 6  5 -21.277058 -21.338219 -21.399500 -21.462800 -21.525748 -21.587994 -21.652533 -21.715711 -21.777234 -21.836557 -21.896593 -21.952967 -22.005046 -22.054315 -22.092643 -22.058885 -21.729205 -21.145159 -20.586738 -20.128737 -19.766195 -19.482244 -19.259387 -19.086286 -18.952528 -18.850184 -18.771407 -18.711096 -18.668883 -18.637540 -18.614702 -18.598665 -18.592383 -18.590148 -18.591193 -18.599194 -18.609172 -18.620728 -18.636699 -18.653632 -18.671316 -18.689701 -18.712051 -18.734738 -18.757755 -18.784487 -18.811359 -18.838368 -18.868844 -18.899367 -18.929926
 6  6 -19.744071 -20.051495 -20.181534 -20.260580 -20.325948 -20.389283 -20.450978 -20.511832 -20.575795 -20.639012 -20.701588 -20.763459 -20.828686 -20.892477 -20.954776 -21.019011 -21.074275 -21.078824 -20.941041 -20.621853 -20.253021 -19.925724 -19.668062 -19.461496 -19.297676 -19.174133 -19.078782 -19.004908 -18.951445 -18.912345 -18.883863 -18.865482 -18.855169 -18.850272 -18.849245 -18.852160 -18.858756 -18.868520 -18.880167 -18.894584 -18.911903 -18.930100 -18.948979 -18.970100 -18.993762 -19.017665 -19.043229 -19.070846 -19.098573 -19.127715 -19.158707
 7  0 -19.433504 -19.494551 -19.530618 -19.474423 -19.260467 -18.947095 -18.629973 -18.350774 -18.116408 -17.924839 -17.769047 -17.641868 -17.537520 -17.452707 -17.384207 -17.329181 -17.286036 -17.253059 -17.228628 -17.211533 -17.200505 -17.195572 -17.194122 -17.195654 -17.201439 -17.209143 -17.218497 -17.229267 -17.243419 -17.258845 -17.275401 -17.294496 -17.314903 -17.336296 -17.360326 -17.385382 -17.411482 -17.438291 -17.469212 -17.500230 -17.531379 -17.562880 -17.594402 -17.626147 -17.657679 -17.689330 -17.721433 -17.753915 -17.784384 -17.815285 -17.846236
 7  1 -24.011167 -22.805687 -21.846478 -21.090188 -20.484244 -19.994938 -19.597264 -19.279193 -19.028741 -18.834209 -18.677277 -18.543772 -18.429026 -18.332300 -18.254274 -18.192485 -18.144089 -18.106376 -18.080127 -18.061105 -18.047819 -18.042776 -18.041735 -18.043867 -18.052890 -18.064283 -18.077565 -18.092417 -18.112266 -18.133275 -18.155246 -18.180334 -18.206170 -18.232633 -18.262206 -18.292322 -18.322884 -18.353844 -18.386629 -18.419739 -18.453131 -18.487393 -18.521882 -18.556572 -18.591120 -18.625793 -18.660573 -18.695420 -18.728034 -18.760505 -18.792808
 7  2 -22.674940 -22.348569 -21.620616 -20.915962 -20.335911 -19.864165 -19.476454 -19.154125 -18.884460 -18.660179 -18.475854 -18.325527 -18.205066 -18.109882 -18.034790 -17.976449 -17.931581 -17.897465 -17.872585 -17.854546 -17.841979 -17.836049 -17.833842 -17.834660 -17.841467 -17.850517 -17.861396 -17.873816 -17.890990 -17.909324 -17.928632 -17.951321 -17.974775 -17.998876 -18.025770 -18.053224 -18.081135 -18.109451 -18.139653 -18.170182 -18.200993 -18.232332 -18.263893 -18.295645 -18.325976 -18.356388 -18.386874 -18.417357 -18.442440 -18.467269 -18.491822
 7  3 -22.960612 -22.587883 -21.756122 -20.977984 -20.341444 -19.826493 -19.410245 -19.074009 -18.802363 -18.582520 -18.404126 -18.258948 -18.140859 -18.045290 -17.968419 -17.907482 -17.860075 -17.824199 -17.797926 -17.779771 -17.768364 -17.763084 -17.762477 -17.765750 -17.773671 -17.784433 -17.797596 -17.812827 -17.831313 -17.851386 -17.872838 -17.896838 -17.921937 -17.947996 -17.975913 -18.004628 -18.034039 -18.064071 -18.095477 -18.127399 -18.159780 -18.192690 -18.225984 -18.259620 -18.292718 -18.326065 -18.359637 -18.393373 -18.424369 -18.455325 -18.486193
 7  4 -22.407332 -22.417063 -22.121884 -21.330761 -20.561421 -19.943184 -19.458157 -19.079838 -18.785743 -18.557484 -18.380296 -18.242471 -18.134531 -18.049292 -17.981667 -17.928281 -17.886902 -17.855820 -17.833539 -17.818751 -17.810350 -17.807568 -17.809422 -17.815229 -17.824962 -17.837645 -17.852861 -17.870271 -17.890257 -17.911921 -17.935055 -17.960085 -17.986283 -18.013513 -18.042214 -18.071762 -18.102062 -18.133038 -18.165053 -18.197631 -18.230716 -18.264364 -18.298434 -18.332885 -18.367230 -18.401865 -18.436760 -18.471868 -18.505490 -18.539149 -18.572808
 7  5 -22.264383 -21.523856 -20.778713 -20.176953 -19.706228 -19.339892 -19.058335 -18.844161 -18.680282 -18.558682 -18.469909 -18.405449 -18.354004 -18.313134 -18.278669 -18.245278 -18.216607 -18.193764 -18.171934 -18.157045 -18.148955 -18.146774 -18.145478 -18.147305 -18.150979 -18.154981 -18.158676 -18.161495 -18.166441 -18.170646 -18.174129 -18.179711 -18.188165 -18.196574 -18.209866 -18.225621 -18.241851 -18.258082 -18.294039 -18.326814 -18.357195 -18.388977 -18.419690 -18.449673 -18.481664 -18.513464 -18.545166 -18.576884 -18.611357 -18.645952 -18.680696
 7  6 -20.942022 -21.011929 -21.083988 -21.155322 -21.226071 -21.299570 -21.371941 -21.443409 -21.518704 -21.592058 -21.662976 -21.730857 -21.800125 -21.863753 -21.920658 -21.972936 -21.997095 -21.868110 -21.420737 -20.858484 -20.364063 -19.964528 -19.650101 -19.403808 -19.211143 -19.062099 -18.947546 -18.859605 -18.792254 -18.742521 -18.707145 -18.681287 -18.662887 -18.652436 -18.649151 -18.649422 -18.654425 -18.664131 -18.675576 -18.689679 -18.706608 -18.724371 -18.742782 -18.763258 -18.786058 -18.809126 -18.833913 -18.860822 -18.887853 -18.916391 -18.946897
 7  7 -19.792561 -19.849399 -19.906789 -19.965628 -20.025961 -20.086508 -20.148281 -20.211290 -20.274089 -20.338428 -20.404576 -20.470024 -20.534750 -20.600947 -20.668742 -20.735070 -20.801721 -20.866499 -20.910415 -20.873748 -20.683241 -20.370584 -20.047261 -19.769743 -19.546046 -19.368257 -19.231025 -19.123258 -19.037026 -18.972043 -18.922938 -18.885829 -18.859398 -18.844055 -18.838689 -18.838714 -18.851258 -18.868356 -18.889019 -18.913629 -18.939900 -18.960650 -18.980014 -18.999607 -19.017561 -19.035865 -19.059480 -19.086465 -19.114039 -19.150398 -19.186882
 8  0 -19.166591 -19.229757 -19.286846 -19.309714 -19.235933 -19.030109 -18.752243 -18.474858 -18.229346 -18.021925 -17.850272 -17.709777 -17.595200 -17.501017 -17.422791 -17.358591 -17.306641 -17.265838 -17.235005 -17.212834 -17.198015 -17.189970 -17.187117 -17.188271 -17.193461 -17.201493 -17.211909 -17.224398 -17.239804 -17.256900 -17.275623 -17.296628 -17.318716 -17.341981 -17.367142 -17.393319 -17.420272 -17.448015 -17.476956 -17.507328 -17.539205 -17.571178 -17.603277 -17.635450 -17.666806 -17.698478 -17.730419 -17.762476 -17.791969 -17.821523 -17.851014
 8  1 -23.327461 -22.923856 -22.070651 -21.394106 -20.851774 -20.423283 -20.086363 -19.822782 -19.608907 -19.441596 -19.311206 -19.203959 -19.120207 -19.055394 -19.003149 -18.963383 -18.933737 -18.912223 -18.898803 -18.890549 -18.886293 -18.889316 -18.894910 -18.902475 -18.916999 -18.932855 -18.949701 -18.967362 -18.990053 -19.013199 -19.036685 -19.063887 -19.091179 -19.118485 -19.148121 -19.177806 -19.207469 -19.237085 -19.268307 -19.299452 -19.330508 -19.360701 -19.390834 -19.420897 -19.446278 -19.471565 -19.496802 -19.521861 -19.535088 -19.548278 -19.561426
